<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,60,20210104,030000,51.5000000,51.8200000,51.3800000,51.7400000,2176
ICE.BRN,60,20210104,040000,51.7400000,51.7800000,51.6700000,51.6700000,415
ICE.BRN,60,20210104,050000,51.6900000,52.0800000,51.6900000,52.0700000,3615
ICE.BRN,60,20210104,060000,52.0800000,52.6900000,52.0500000,52.5300000,6631
ICE.BRN,60,20210104,070000,52.5300000,52.6000000,52.2900000,52.3100000,3050
ICE.BRN,60,20210104,080000,52.3200000,52.4300000,52.3000000,52.4200000,894
ICE.BRN,60,20210104,090000,52.4200000,52.6400000,52.3900000,52.6100000,1706
ICE.BRN,60,20210104,100000,52.6200000,53.1700000,52.6200000,52.8200000,6251
ICE.BRN,60,20210104,110000,52.8400000,53.0500000,52.8200000,53.0500000,3966
ICE.BRN,60,20210104,120000,53.0400000,53.3300000,52.8600000,53.1300000,17671
ICE.BRN,60,20210104,130000,53.1200000,53.3300000,52.2500000,52.4200000,21695
ICE.BRN,60,20210104,140000,52.4200000,52.6200000,52.3600000,52.5500000,7571
ICE.BRN,60,20210104,150000,52.5500000,52.6600000,52.3700000,52.4800000,4553
ICE.BRN,60,20210104,160000,52.4900000,52.5100000,51.6500000,51.7500000,15196
ICE.BRN,60,20210104,170000,51.7500000,52.5000000,51.6900000,52.5000000,13382
ICE.BRN,60,20210104,180000,52.4800000,52.6200000,51.7200000,52.1900000,20150
ICE.BRN,60,20210104,190000,52.1900000,52.2700000,50.7500000,51.1500000,45328
ICE.BRN,60,20210104,200000,51.1500000,51.2900000,50.7300000,51.1500000,39460
ICE.BRN,60,20210104,210000,51.1500000,51.2500000,50.9200000,51.1100000,10762
ICE.BRN,60,20210104,220000,51.1200000,51.4800000,51.0400000,51.4300000,9739
ICE.BRN,60,20210104,230000,51.4200000,51.4400000,50.7500000,50.9800000,24956
ICE.BRN,60,20210105,000000,50.9700000,51.0200000,50.5600000,50.7300000,6236
ICE.BRN,60,20210105,010000,50.7400000,50.8700000,50.6200000,50.7600000,1936
ICE.BRN,60,20210105,020000,50.7600000,50.8000000,50.6000000,50.6700000,122
ICE.BRN,60,20210105,050000,50.9500000,51.2500000,50.8400000,51.1700000,3215
ICE.BRN,60,20210105,060000,51.1700000,51.2500000,51.1000000,51.1100000,1453
ICE.BRN,60,20210105,070000,51.1100000,51.2000000,50.9800000,51.0200000,707
ICE.BRN,60,20210105,080000,51.0200000,51.0400000,50.9600000,51.0000000,353
ICE.BRN,60,20210105,090000,51.0000000,51.1000000,50.9100000,50.9200000,1172
ICE.BRN,60,20210105,100000,50.9200000,50.9800000,50.7000000,50.9400000,2907
ICE.BRN,60,20210105,110000,50.9400000,51.0800000,50.8000000,50.8800000,3381
ICE.BRN,60,20210105,120000,50.8900000,51.1700000,50.8700000,51.1400000,12374
ICE.BRN,60,20210105,130000,51.1500000,51.5100000,51.0300000,51.4700000,9016
ICE.BRN,60,20210105,140000,51.4800000,51.6800000,51.1600000,51.5800000,9395
ICE.BRN,60,20210105,150000,51.5800000,52.0900000,51.5500000,52.0200000,13572
ICE.BRN,60,20210105,160000,52.0200000,52.0800000,51.7400000,51.9000000,11668
ICE.BRN,60,20210105,170000,51.9100000,51.9400000,51.5200000,51.5300000,9105
ICE.BRN,60,20210105,180000,51.5200000,52.9100000,51.5100000,52.8200000,37893
ICE.BRN,60,20210105,190000,52.8200000,53.7600000,52.7700000,53.1500000,46595
ICE.BRN,60,20210105,200000,53.1500000,53.3600000,52.6500000,52.8600000,38401
ICE.BRN,60,20210105,210000,52.8600000,53.3200000,52.8300000,53.2500000,23669
ICE.BRN,60,20210105,220000,53.2500000,53.8500000,53.2100000,53.7500000,42021
ICE.BRN,60,20210105,230000,53.7600000,53.9000000,53.5100000,53.6000000,21810
ICE.BRN,60,20210106,000000,53.5900000,53.6800000,53.4800000,53.6500000,4302
