<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BTC/USD,60,20210101,010000,29200.0000000,29219.0100000,28947.7000000,28992.1800000,287
BTSX.BTC/USD,60,20210101,020000,28987.6000000,29191.6000000,28945.2600000,29144.5600000,136
BTSX.BTC/USD,60,20210101,030000,29135.2500000,29161.4600000,28843.7400000,28992.7900000,292
BTSX.BTC/USD,60,20210101,040000,28999.6300000,29099.0000000,28774.6400000,29056.9400000,215
BTSX.BTC/USD,60,20210101,050000,29070.6600000,29543.9300000,29010.3600000,29479.1200000,468
BTSX.BTC/USD,60,20210101,060000,29484.3900000,29535.9500000,29189.3400000,29249.3300000,158
BTSX.BTC/USD,60,20210101,070000,29249.3300000,29414.4800000,29216.6100000,29345.6300000,162
BTSX.BTC/USD,60,20210101,080000,29351.8500000,29458.2700000,29121.8000000,29290.3800000,176
BTSX.BTC/USD,60,20210101,090000,29294.5800000,29300.1500000,29158.8600000,29242.1000000,200
BTSX.BTC/USD,60,20210101,100000,29242.1000000,29317.5600000,29156.4800000,29245.5400000,198
BTSX.BTC/USD,60,20210101,110000,29245.5400000,29253.6100000,28896.6600000,29173.1700000,163
BTSX.BTC/USD,60,20210101,120000,29179.0100000,29247.4000000,28947.7000000,29077.2000000,180
BTSX.BTC/USD,60,20210101,130000,29060.4300000,29390.8500000,29039.5900000,29282.6200000,172
BTSX.BTC/USD,60,20210101,140000,29282.6200000,29405.5100000,29234.2500000,29318.1600000,183
BTSX.BTC/USD,60,20210101,150000,29322.9400000,29490.0000000,29297.9200000,29390.3400000,127
BTSX.BTC/USD,60,20210101,160000,29390.3400000,29700.0000000,29233.4000000,29313.7700000,306
BTSX.BTC/USD,60,20210101,170000,29303.3300000,29555.1600000,29286.2700000,29538.9200000,143
BTSX.BTC/USD,60,20210101,180000,29550.0000000,29614.8800000,29339.2200000,29397.6900000,313
BTSX.BTC/USD,60,20210101,190000,29388.8500000,29460.1700000,29100.0000000,29261.9600000,301
BTSX.BTC/USD,60,20210101,200000,29261.9600000,29436.3300000,29175.0100000,29376.8600000,128
BTSX.BTC/USD,60,20210101,210000,29370.6200000,29419.9800000,29000.0000000,29162.3600000,220
BTSX.BTC/USD,60,20210101,220000,29162.3600000,29327.5400000,28720.0000000,29130.2100000,391
BTSX.BTC/USD,60,20210101,230000,29131.8800000,29213.0500000,29022.0000000,29131.5400000,230
BTSX.BTC/USD,60,20210102,000000,29108.6700000,29367.3100000,28947.7000000,29294.9000000,232
BTSX.BTC/USD,60,20210102,010000,29294.9000000,29385.2100000,29228.9700000,29247.9200000,130
BTSX.BTC/USD,60,20210102,020000,29255.8700000,29406.0000000,29197.0800000,29355.5700000,74
BTSX.BTC/USD,60,20210102,030000,29352.5000000,29434.2700000,29311.3200000,29402.6400000,91
BTSX.BTC/USD,60,20210102,040000,29410.7700000,29417.2300000,29050.0000000,29262.4600000,228
BTSX.BTC/USD,60,20210102,050000,29269.0700000,29495.2200000,29184.5000000,29446.9300000,171
BTSX.BTC/USD,60,20210102,060000,29451.9700000,29574.1100000,29400.0000000,29409.2500000,147
BTSX.BTC/USD,60,20210102,070000,29409.2500000,29464.9600000,29343.6900000,29432.4700000,60
BTSX.BTC/USD,60,20210102,080000,29435.0000000,29495.1800000,29310.5000000,29443.3000000,129
BTSX.BTC/USD,60,20210102,090000,29449.2600000,29686.0000000,29443.3000000,29676.2000000,176
BTSX.BTC/USD,60,20210102,100000,29686.0000000,29825.0000000,29571.5700000,29790.4900000,222
BTSX.BTC/USD,60,20210102,110000,29795.0900000,29895.0000000,29721.7800000,29834.2600000,206
BTSX.BTC/USD,60,20210102,120000,29829.5900000,29928.0000000,29721.6200000,29913.7200000,231
BTSX.BTC/USD,60,20210102,130000,29912.4300000,29990.0000000,29654.0000000,29688.0400000,235
BTSX.BTC/USD,60,20210102,140000,29666.7900000,29898.5000000,29543.9300000,29748.6700000,217
BTSX.BTC/USD,60,20210102,150000,29738.6100000,29849.3800000,29689.0800000,29822.4200000,160
BTSX.BTC/USD,60,20210102,160000,29822.4200000,30958.0600000,29800.0000000,30668.7600000,1197
BTSX.BTC/USD,60,20210102,170000,30663.4300000,31550.0000000,30552.8600000,31550.0000000,951
BTSX.BTC/USD,60,20210102,180000,31550.0000000,31584.3100000,31144.7800000,31344.7300000,605
BTSX.BTC/USD,60,20210102,190000,31323.4900000,31886.4200000,30750.0000000,31782.9600000,646
BTSX.BTC/USD,60,20210102,200000,31758.0000000,33099.2400000,31757.3700000,32531.1700000,1559
BTSX.BTC/USD,60,20210102,210000,32530.1300000,33022.4400000,32450.0000000,32914.4100000,445
BTSX.BTC/USD,60,20210102,220000,32909.8600000,33333.0000000,32511.6200000,33026.2800000,641
BTSX.BTC/USD,60,20210102,230000,33032.9700000,33268.3700000,32714.4600000,33080.5000000,494
BTSX.BTC/USD,60,20210103,000000,33082.2900000,33112.2600000,30000.0000000,30682.4700000,1971
BTSX.BTC/USD,60,20210103,010000,30674.7200000,31939.1200000,30228.7300000,31700.0000000,1365
BTSX.BTC/USD,60,20210103,020000,31700.0000000,32300.0000000,31452.9400000,32185.4400000,499
BTSX.BTC/USD,60,20210103,030000,32179.0600000,32260.7900000,31634.1600000,32216.5300000,293
BTSX.BTC/USD,60,20210103,040000,32216.5100000,32518.8800000,31977.4500000,32485.7200000,222
BTSX.BTC/USD,60,20210103,050000,32450.3000000,32832.2700000,32259.8600000,32595.3200000,194
BTSX.BTC/USD,60,20210103,060000,32621.7300000,32911.2200000,32585.3400000,32746.8900000,93
BTSX.BTC/USD,60,20210103,070000,32784.0100000,32789.6700000,32479.9100000,32611.5500000,121
BTSX.BTC/USD,60,20210103,080000,32612.1900000,33268.3700000,32479.9100000,33213.8400000,193
BTSX.BTC/USD,60,20210103,090000,33204.0200000,34182.0000000,33129.5800000,33725.0700000,926
BTSX.BTC/USD,60,20210103,100000,33774.9100000,34116.7600000,33660.3000000,33992.1600000,414
BTSX.BTC/USD,60,20210103,110000,33978.0200000,34800.0000000,33779.7200000,34484.5000000,571
BTSX.BTC/USD,60,20210103,120000,34495.3700000,34652.9500000,33761.6900000,34380.2800000,420
BTSX.BTC/USD,60,20210103,130000,34386.7900000,34604.1100000,33831.6600000,34204.2100000,434
BTSX.BTC/USD,60,20210103,140000,34207.6600000,34378.7000000,33428.3500000,33907.4300000,478
BTSX.BTC/USD,60,20210103,150000,33884.0400000,34466.7200000,33807.1100000,34447.2800000,291
BTSX.BTC/USD,60,20210103,160000,34425.0300000,34622.6700000,33985.0000000,34144.7100000,254
BTSX.BTC/USD,60,20210103,170000,34121.8800000,34404.4900000,33834.0000000,33913.3200000,306
BTSX.BTC/USD,60,20210103,180000,33915.3100000,34192.6800000,33534.3900000,33924.6800000,448
BTSX.BTC/USD,60,20210103,190000,33894.5000000,33950.0000000,32793.0300000,33557.8900000,898
BTSX.BTC/USD,60,20210103,200000,33549.0500000,33855.8300000,32000.0000000,32399.9900000,1130
BTSX.BTC/USD,60,20210103,210000,32399.9900000,33243.8100000,32327.7600000,32892.3900000,922
BTSX.BTC/USD,60,20210103,220000,32938.2200000,33036.1900000,32252.2600000,32759.7800000,521
BTSX.BTC/USD,60,20210103,230000,32758.8700000,32905.1000000,32450.0000000,32775.7600000,230
BTSX.BTC/USD,60,20210104,000000,32744.0700000,33850.0000000,32723.6600000,33722.2500000,464
BTSX.BTC/USD,60,20210104,010000,33743.8400000,33872.2600000,33548.8400000,33585.4000000,119
BTSX.BTC/USD,60,20210104,020000,33576.4400000,33687.7100000,33029.8400000,33163.9500000,324
BTSX.BTC/USD,60,20210104,030000,33144.2400000,33629.4000000,32720.5300000,33097.8300000,318
BTSX.BTC/USD,60,20210104,040000,33068.8300000,33148.8900000,32450.9700000,32895.3500000,483
BTSX.BTC/USD,60,20210104,050000,32891.2300000,33360.8900000,32640.3400000,33239.8400000,183
BTSX.BTC/USD,60,20210104,060000,33217.7900000,33629.4000000,33011.3900000,33502.9600000,149
BTSX.BTC/USD,60,20210104,070000,33524.7000000,33593.2500000,33228.6400000,33593.1700000,142
BTSX.BTC/USD,60,20210104,080000,33590.8500000,33669.7600000,33249.2500000,33331.8800000,114
